117,160,1023
122,159,1023
145,151,1023
198,179,1022
161,158,1023
174,163,1023
188,175,1023
159,158,1023
202,181,1023
161,160,1023
177,165,1023
181,171,1023
162,159,1019
204,184,1023
160,159,1023
179,167,1023
179,171,1023
163,159,1023
203,184,1023
159,159,1023
180,168,1023
175,168,1023
157,160,1023
203,184,1023
159,159,1023
187,171,1023
197,182,1023
160,161,1022
174,163,1023
185,173,1023
161,156,1023
205,182,1023
160,158,1023
176,166,1023
183,173,1023
162,159,1023
204,182,1023
148,153,1023
199,182,1023
161,157,1023
175,163,1023
190,176,1023
161,157,1023
201,181,1023
161,160,1023
173,163,1023
194,180,1023
161,159,1023
202,182,1023
163,161,1023
167,161,1023
200,180,1023
159,159,1023
193,176,1023
166,162,1023
167,160,1023
200,180,1021
162,159,1023
168,163,1023
198,180,1023
160,158,1023
197,178,1023
164,162,1023
166,161,1023
201,181,1023
160,158,1023
193,175,1023
168,163,1023
167,159,1023
204,184,1023
160,158,1023
187,173,1022
171,166,1023
166,161,1023
165,166,1023
162,159,1023
202,183,1023
159,158,1023
177,166,1023
183,173,1023
162,158,1023
203,184,1023
160,159,1023
173,163,1023
189,176,1023
160,159,1023
202,183,1023
173,168,1023
161,158,1023
201,183,1023
160,160,1021
175,165,1023
184,173,1023
161,158,1023
203,183,1023
160,159,1023
175,164,1021
187,176,1023
160,158,1023
202,181,1023
161,160,1023
173,163,1023
193,177,1023
159,156,1023
200,180,1023
163,159,1023
169,160,1023
198,179,1023
159,158,1023
199,178,1023
147,154,1023
191,176,1023
163,162,1023
165,160,1023
202,182,1023
157,156,1023
193,177,1023
189,178,1023
158,158,1023
202,183,1023
163,160,1022
172,162,1023
195,179,1023
159,157,1023
200,182,1023
163,159,1023
167,163,1023
199,182,1023
160,158,1023
197,179,1023
165,162,1023
168,161,1023
201,181,1022
159,156,1023
194,176,1023
165,161,1023
166,160,1023
202,182,1023
159,157,1023
188,173,1023
171,163,1023
167,160,1022
203,182,1023
159,159,1023
183,169,1023
176,168,1023
163,158,1023
168,168,1023
157,156,1023
191,174,1023
168,164,1023
166,159,1023
203,183,1023
158,158,1023
188,171,1023
170,165,1023
167,159,1023
202,183,1023
159,159,1023
182,169,1023
175,168,1023
165,160,1023
203,182,1023
159,158,1023
178,167,1023
177,169,1023
163,159,1023
200,184,1023
160,157,1023
176,167,1023
184,172,1023
162,160,1023
203,183,1023
160,159,1023
174,164,1023
189,175,1023
160,158,1023
202,181,1023
161,158,1016
163,159,1023
203,183,1023
159,159,1023
177,166,1023
151,156,1023
172,163,1023
187,175,1023
160,158,1023
202,182,1023
161,159,1023
171,162,1023
195,179,1023
161,160,1023
202,182,1023
190,178,1023
